item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q107431,NormalRank,Q6581097,true,true,false,false,false,true
Q108292440,,,,false,,,,
Q108745687,NormalRank,Q6581097,true,true,false,false,false,true
Q108782678,NormalRank,Q6581097,true,true,false,false,false,true
Q108782778,NormalRank,Q6581097,true,true,false,false,false,true
Q111732093,NormalRank,Q6581072,true,false,,,,
Q114612805,NormalRank,Q6581097,true,false,,,,
Q114612806,NormalRank,Q6581097,true,false,,,,
Q114612807,NormalRank,Q6581097,true,false,,,,
Q114612809,NormalRank,Q6581097,true,false,,,,
Q114612811,NormalRank,Q6581097,true,false,,,,
Q114612812,NormalRank,Q6581072,true,false,,,,
Q114612813,NormalRank,Q6581072,true,false,,,,
Q114612814,NormalRank,Q6581072,true,false,,,,
Q114612816,NormalRank,Q6581097,true,false,,,,
Q114612818,NormalRank,Q6581097,true,false,,,,
Q16269557,NormalRank,Q6581072,true,false,,,,
Q23899522,NormalRank,Q6581097,true,false,,,,
Q29158211,NormalRank,Q6581097,true,false,,,,
Q29158764,NormalRank,Q6581097,true,false,,,,
Q3183797,NormalRank,Q6581097,true,false,,,,
Q3268211,NormalRank,Q6581097,true,false,,,,
Q336265,NormalRank,Q6581097,true,true,true,false,false,false
Q45965970,NormalRank,Q6581072,true,false,,,,
Q500378,NormalRank,Q6581097,true,true,false,false,false,true
Q500378,NormalRank,Q6581097,true,true,true,false,false,false
Q500385,NormalRank,Q6581097,true,true,false,false,false,true
Q7378692,NormalRank,Q6581097,true,false,,,,
Q88247927,NormalRank,Q6581097,true,true,false,false,false,true
Q57517,NormalRank,Q6581097,true,true,true,false,false,false
Q57649,NormalRank,Q6581097,true,false,,,,
Q58252,NormalRank,Q6581097,true,false,,,,
