item,itemLabel,minister,ministerLabel,began,ended
Q25445154,Ministry of Culture,Q114612561,Minister of Culture,,
Q30261951,"Ministry of Higher Education, Science and Innovation",,,1963,
Q30261948,Ministry of Internal Affairs,Q114612566,Minister of Internal Affairs,,
Q55648322,Ministry of Justice of Cape Verde,Q114612567,Minister of Justice of Cape Verde,,
Q18597544,Ministry of National Defense,Q114612573,Minister of National Defense,,
